name,loaning_club,player_value_in_moment_of_transfer,league,year
Harry Boyes,Lincoln City,100 tys. €,GB3,2022
Thierry Small,Port Vale FC,100 tys. €,GB3,2022
Jack Diamond,Lincoln City,100 tys. €,GB3,2022
Joe Pigott,FC Portsmouth,100 tys. €,GB3,2022
Joseph Anang,Derby County,100 tys. €,GB3,2022
Corrie Ndaba,Burton Albion,100 tys. €,GB3,2022
Killian Phillips,Shrewsbury Town,75 tys. €,GB3,2022
Doug Tharme,Accrington Stanley,50 tys. €,GB3,2022
Harry Smith,Exeter City,50 tys. €,GB3,2022
Christian Saydee,Shrewsbury Town,50 tys. €,GB3,2022
Lukas Jensen,Accrington Stanley,50 tys. €,GB3,2022
Kabongo Tshimanga,Peterborough United,-,GB3,2022
William Osula,Derby County,-,GB3,2022
Lucas Bergström,Peterborough United,-,GB3,2022
Ziyad Larkeche,FC Barnsley,-,GB3,2022
Daniel Oyegoke,Milton Keynes Dons,-,GB3,2022
Robert Street,Shrewsbury Town,-,GB3,2022
Ryan Astley,Accrington Stanley,-,GB3,2022
Jarell Quansah,Bristol Rovers,-,GB3,2022
Nathan Butler-Oyedeji,Accrington Stanley,-,GB3,2022
Carl Rushworth,Lincoln City,-,GB3,2022
Quévin Castro,Burton Albion,-,GB3,2022
Harry Boyes,Forest Green Rovers,-,GB3,2022
Lewis Warrington,Fleetwood Town,-,GB3,2022
Taylor Perry,Cheltenham Town,-,GB3,2022
Zac Ashworth,Burton Albion,-,GB3,2022
Finn Azaz,Plymouth Argyle,-,GB3,2022
Michael Mellon,FC Morecambe,-,GB3,2022
Joe White,Exeter City,-,GB3,2022
James Taylor,Cheltenham Town,-,GB3,2022
Tony Springett,Derby County,-,GB3,2022
Kell Watts,Peterborough United,-,GB3,2022
Matty Longstaff,Colchester United,"1,80 mln €",GB4,2022
Arthur Okonkwo,Crewe Alexandra,"1,50 mln €",GB4,2022
Louie Barry,Salford City,"1,00 mln €",GB4,2022
Dynel Simeu,Tranmere Rovers,"1,00 mln €",GB4,2022
Ethan Galbraith,Salford City,800 tys. €,GB4,2022
Luke Jephcott,Swindon Town,700 tys. €,GB4,2022
Aiden O'Brien,FC Gillingham,600 tys. €,GB4,2022
Ryan Schofield,Crawley Town,500 tys. €,GB4,2022
Adam Lewis,Newport County,500 tys. €,GB4,2022
Toby Savin,FC Stevenage,450 tys. €,GB4,2022
Daryl Horgan,FC Stevenage,450 tys. €,GB4,2022
D'Mani Mellor,AFC Rochdale,450 tys. €,GB4,2022
Dean Campbell,FC Stevenage,425 tys. €,GB4,2022
Paul Glatzel,Tranmere Rovers,400 tys. €,GB4,2022
D'Margio Wright-Phillips,Northampton Town,400 tys. €,GB4,2022
Diallang Jaiyesimi,AFC Wimbledon,400 tys. €,GB4,2022
Tete Yengi,Northampton Town,400 tys. €,GB4,2022
Alex Gilbey,FC Stevenage,400 tys. €,GB4,2022
Jamie McCart,Leyton Orient,400 tys. €,GB4,2022
Logan Chalmers,Tranmere Rovers,375 tys. €,GB4,2022
Josh Eppiah,Northampton Town,350 tys. €,GB4,2022
Mathew Stevens,FC Walsall,350 tys. €,GB4,2022
Teddy Jenks,Crawley Town,325 tys. €,GB4,2022
Jack Hamilton,Hartlepool United,325 tys. €,GB4,2022
Marc Leonard,Northampton Town,300 tys. €,GB4,2022
Christy Pym,Mansfield Town,300 tys. €,GB4,2022
Dan Kemp,Hartlepool United,300 tys. €,GB4,2022
Kasey McAteer,AFC Wimbledon,300 tys. €,GB4,2022
Clarke Oduor,Hartlepool United,300 tys. €,GB4,2022
Max Woltman,Doncaster Rovers,300 tys. €,GB4,2022
Danny Johnson,FC Walsall,300 tys. €,GB4,2022
Dara Costelloe,Bradford City,300 tys. €,GB4,2022
Romoney Crichlow,Bradford City,300 tys. €,GB4,2022
Ashley Maynard-Brewer,FC Gillingham,300 tys. €,GB4,2022
Jack Stretton,Carlisle United,300 tys. €,GB4,2022
Conor Masterson,FC Gillingham,300 tys. €,GB4,2022
Regan Hendry,Tranmere Rovers,300 tys. €,GB4,2022
Ellery Balcombe,Crawley Town,300 tys. €,GB4,2022
Kieran Sadlier,Leyton Orient,300 tys. €,GB4,2022
Matty Daly,Harrogate Town,250 tys. €,GB4,2022
David Ajiboye,Sutton United,250 tys. €,GB4,2022
Charlie Lakin,Doncaster Rovers,250 tys. €,GB4,2022
Hakeeb Adelakun,FC Gillingham,250 tys. €,GB4,2022
Dion Pereira,Bradford City,250 tys. €,GB4,2022
Daniel Adshead,AFC Rochdale,250 tys. €,GB4,2022
Saikou Janneh,AFC Wimbledon,250 tys. €,GB4,2022
Dan Chesters,Colchester United,250 tys. €,GB4,2022
Keyendrah Simmonds,Grimsby Town,250 tys. €,GB4,2022
Scott Banks,Bradford City,250 tys. €,GB4,2022
Josh Reid,FC Stevenage,250 tys. €,GB4,2022
Kazeem Olaigbe,Harrogate Town,225 tys. €,GB4,2022
Caleb Chukwuemeka,Crawley Town,200 tys. €,GB4,2022
Lewis Richardson,Grimsby Town,200 tys. €,GB4,2022
Jakub Stolarczyk,Hartlepool United,200 tys. €,GB4,2022
Aaron Rowe,Stockport County,200 tys. €,GB4,2022
Alex Cairns,Hartlepool United,200 tys. €,GB4,2022
Ed Turns,Leyton Orient,200 tys. €,GB4,2022
Charlie McNeill,Newport County,200 tys. €,GB4,2022
Rayhaan Tulloch,AFC Rochdale,200 tys. €,GB4,2022
Luke Robinson,Tranmere Rovers,200 tys. €,GB4,2022
Kwesi Appiah,Colchester United,200 tys. €,GB4,2022
Paris Maghoma,AFC Wimbledon,200 tys. €,GB4,2022
Charlie Kelman,Leyton Orient,200 tys. €,GB4,2022
Alex Cairns,Salford City,200 tys. €,GB4,2022
Joe Grayson,Stockport County,175 tys. €,GB4,2022
Tom Eastman,Harrogate Town,150 tys. €,GB4,2022
Jonathan Tomkinson,FC Stevenage,150 tys. €,GB4,2022
Hayden Lindley,Newport County,150 tys. €,GB4,2022
Jackson Smith,FC Walsall,150 tys. €,GB4,2022
Idris El Mizouni,Leyton Orient,150 tys. €,GB4,2022
Jack Jenkins,Salford City,150 tys. €,GB4,2022
Femi Seriki,AFC Rochdale,150 tys. €,GB4,2022
Lachlan Brook,Crewe Alexandra,150 tys. €,GB4,2022
Bez Lubala,Colchester United,150 tys. €,GB4,2022
Ryan Finnigan,Crewe Alexandra,150 tys. €,GB4,2022
Ciaran Brennan,Swindon Town,150 tys. €,GB4,2022
George Lloyd,Grimsby Town,150 tys. €,GB4,2022
Joe Tomlinson,Swindon Town,150 tys. €,GB4,2022
Jack Spong,Crawley Town,150 tys. €,GB4,2022
Sol Brynn,Swindon Town,150 tys. €,GB4,2022
Tolaji Bola,Bradford City,150 tys. €,GB4,2022
Matthew Dennis,Sutton United,150 tys. €,GB4,2022
Danny Grant,Harrogate Town,150 tys. €,GB4,2022
Ryley Towler,AFC Wimbledon,100 tys. €,GB4,2022
Matty Dolan,Hartlepool United,100 tys. €,GB4,2022
Jake Eastwood,AFC Rochdale,100 tys. €,GB4,2022
Josh Neufville,Sutton United,100 tys. €,GB4,2022
Yann Songo'o,FC Walsall,100 tys. €,GB4,2022
Tyla Dickinson,Sutton United,100 tys. €,GB4,2022
Flynn Clarke,FC Walsall,100 tys. €,GB4,2022
Thomas Dickson-Peters,Grimsby Town,100 tys. €,GB4,2022
Frazer Blake-Tracy,Swindon Town,100 tys. €,GB4,2022
Josh Coley,Harrogate Town,100 tys. €,GB4,2022
Armani Little,AFC Wimbledon,100 tys. €,GB4,2022
James Brown,Doncaster Rovers,100 tys. €,GB4,2022
Jökull Andrésson,FC Stevenage,100 tys. €,GB4,2022
James Brown,Stockport County,100 tys. €,GB4,2022
Khanya Leshabela,Crewe Alexandra,100 tys. €,GB4,2022
