name,loaning_club,player_value_in_moment_of_transfer,league,year
Viktor Gyökeres,Coventry City,"1,00 mln €",GB2,2020
Viktor Gyökeres,Swansea City,"1,00 mln €",GB2,2020
Jordi Osei-Tutu,Cardiff City,"1,00 mln €",GB2,2020
Sam Field,Queens Park Rangers,"1,00 mln €",GB2,2020
Jayson Molumby,Preston North End,900 tys. €,GB2,2020
Riley McGree,Birmingham City,900 tys. €,GB2,2020
Lee Gregory,Derby County,800 tys. €,GB2,2020
Sam McCallum,Coventry City,750 tys. €,GB2,2020
Daniel Iversen,Preston North End,600 tys. €,GB2,2020
George Edmundson,Derby County,500 tys. €,GB2,2020
Rhys Norrington-Davies,Stoke City,500 tys. €,GB2,2020
Joel Pereira,Huddersfield Town,475 tys. €,GB2,2020
George Hirst,Rotherham United,450 tys. €,GB2,2020
Jamal Blackman,Rotherham United,400 tys. €,GB2,2020
Ched Evans,Preston North End,300 tys. €,GB2,2020
Nnamdi Ofoborh,Wycombe Wanderers,250 tys. €,GB2,2020
Admiral Muskwe,Wycombe Wanderers,100 tys. €,GB2,2020
Dennis Adeniran,Wycombe Wanderers,-,GB2,2020
Kiernan Dewsbury-Hall,Luton Town,-,GB2,2020
Lewis Gibson,FC Reading,-,GB2,2020
Josh Knight,Wycombe Wanderers,-,GB2,2020
Sam Nombe,Luton Town,-,GB2,2020
Ryan Giles,Coventry City,-,GB2,2020
Ben Sheaf,Coventry City,-,GB2,2020
Rhys Norrington-Davies,Luton Town,-,GB2,2020
Ben Woodburn,FC Blackpool,"4,50 mln €",GB3,2020
Troy Parrott,Ipswich Town,"3,60 mln €",GB3,2020
Josef Bursik,Lincoln City,"2,00 mln €",GB3,2020
Josef Bursik,Peterborough United,"2,00 mln €",GB3,2020
Ethan Laird,Milton Keynes Dons,"1,80 mln €",GB3,2020
Josh Sims,Doncaster Rovers,"1,60 mln €",GB3,2020
Josh Sims,Doncaster Rovers,"1,60 mln €",GB3,2020
Callum Connolly,Fleetwood Town,"1,60 mln €",GB3,2020
George Byers,FC Portsmouth,"1,60 mln €",GB3,2020
Dan Crowley,Hull City,"1,50 mln €",GB3,2020
Keanan Bennetts,Ipswich Town,"1,30 mln €",GB3,2020
Morgan Rogers,Lincoln City,"1,30 mln €",GB3,2020
Tom Edwards,Fleetwood Town,"1,20 mln €",GB3,2020
Will Grigg,Milton Keynes Dons,"1,20 mln €",GB3,2020
Gavin Whyte,Hull City,"1,00 mln €",GB3,2020
Luke Matheson,Ipswich Town,900 tys. €,GB3,2020
Jayden Stockley,Charlton Athletic,900 tys. €,GB3,2020
Matt Smith,Doncaster Rovers,900 tys. €,GB3,2020
Elliot Lee,Oxford United,900 tys. €,GB3,2020
Matthew Pennington,Shrewsbury Town,800 tys. €,GB3,2020
Jan Zamburek,Shrewsbury Town,800 tys. €,GB3,2020
Barrie McKay,Fleetwood Town,800 tys. €,GB3,2020
Luke Thomas,Ipswich Town,800 tys. €,GB3,2020
Josh Harrop,Ipswich Town,700 tys. €,GB3,2020
Dylan Levitt,Charlton Athletic,675 tys. €,GB3,2020
Rasmus Nicolaisen,FC Portsmouth,600 tys. €,GB3,2020
Joe Lumley,FC Gillingham,600 tys. €,GB3,2020
Jordan Jones,AFC Sunderland,600 tys. €,GB3,2020
Joe Lumley,Doncaster Rovers,600 tys. €,GB3,2020
Mark Travers,Swindon Town,500 tys. €,GB3,2020
Brandon Barker,Oxford United,500 tys. €,GB3,2020
Adam Lewis,Plymouth Argyle,500 tys. €,GB3,2020
Josh Earl,Burton Albion,450 tys. €,GB3,2020
Erhun Öztümer,Bristol Rovers,400 tys. €,GB3,2020
Andrew Shinnie,Charlton Athletic,400 tys. €,GB3,2020
Funso Ojo,Wigan Athletic,400 tys. €,GB3,2020
Janoi Donacien,Fleetwood Town,400 tys. €,GB3,2020
Hakeeb Adelakun,Hull City,400 tys. €,GB3,2020
Dominic Thompson,Swindon Town,400 tys. €,GB3,2020
Matthew Millar,Shrewsbury Town,400 tys. €,GB3,2020
Billy Jones,Crewe Alexandra,400 tys. €,GB3,2020
Sean Clare,Burton Albion,350 tys. €,GB3,2020
Antony Evans,Crewe Alexandra,350 tys. €,GB3,2020
Olly Lee,FC Gillingham,350 tys. €,GB3,2020
Nathan Wood,Crewe Alexandra,300 tys. €,GB3,2020
Dejan Iliev,Shrewsbury Town,300 tys. €,GB3,2020
Conor Masterson,Swindon Town,300 tys. €,GB3,2020
Scott Wootton,Wigan Athletic,300 tys. €,GB3,2020
Kyle Vassell,Fleetwood Town,300 tys. €,GB3,2020
Marcus McGuane,Oxford United,300 tys. €,GB3,2020
Ellery Balcombe,Doncaster Rovers,300 tys. €,GB3,2020
Luka Racic,Northampton Town,300 tys. €,GB3,2020
Harry Chapman,Shrewsbury Town,300 tys. €,GB3,2020
Mickel Miller,Northampton Town,300 tys. €,GB3,2020
Matej Kovar,Swindon Town,250 tys. €,GB3,2020
Stephen Walker,Crewe Alexandra,250 tys. €,GB3,2020
Jonathan Mitchell,Northampton Town,250 tys. €,GB3,2020
Louis Thompson,Milton Keynes Dons,250 tys. €,GB3,2020
Joe Nuttall,Northampton Town,250 tys. €,GB3,2020
Joe Day,Bristol Rovers,250 tys. €,GB3,2020
Indiana Vassilev,Burton Albion,250 tys. €,GB3,2020
Jake Vokins,AFC Sunderland,250 tys. €,GB3,2020
Paul Smyth,Charlton Athletic,250 tys. €,GB3,2020
Robbie Gotts,Lincoln City,250 tys. €,GB3,2020
George Johnston,Wigan Athletic,250 tys. €,GB3,2020
Jaakko Oksanen,AFC Wimbledon,250 tys. €,GB3,2020
Stephen Walker,Milton Keynes Dons,250 tys. €,GB3,2020
Charlie Mulgrew,Fleetwood Town,250 tys. €,GB3,2020
Connal Trueman,AFC Wimbledon,250 tys. €,GB3,2020
Bryn Morris,Northampton Town,250 tys. €,GB3,2020
Paul Smyth,Accrington Stanley,250 tys. €,GB3,2020
Connal Trueman,Swindon Town,250 tys. €,GB3,2020
Elliot Simoes,Doncaster Rovers,250 tys. €,GB3,2020
Jordon Garrick,Swindon Town,250 tys. €,GB3,2020
Joe Wollacott,Swindon Town,200 tys. €,GB3,2020
Jordan Stevens,Swindon Town,200 tys. €,GB3,2020
Tom James,Wigan Athletic,200 tys. €,GB3,2020
Carlton Morris,Milton Keynes Dons,150 tys. €,GB3,2020
Hayden Carter,Burton Albion,150 tys. €,GB3,2020
Sam Walker,AFC Wimbledon,150 tys. €,GB3,2020
Steve Seddon,AFC Wimbledon,150 tys. €,GB3,2020
Jamie Proctor,Wigan Athletic,150 tys. €,GB3,2020
Sam Walker,FC Blackpool,150 tys. €,GB3,2020
Reece Brown,Peterborough United,150 tys. €,GB3,2020
Dion Sanderson,AFC Sunderland,150 tys. €,GB3,2020
Josh Eccles,FC Gillingham,100 tys. €,GB3,2020
Gabriel Osho,AFC Rochdale,100 tys. €,GB3,2020
Peter Kioso,Northampton Town,100 tys. €,GB3,2020
Olamide Shodipo,Oxford United,100 tys. €,GB3,2020
Matija Sarkic,Shrewsbury Town,100 tys. €,GB3,2020
Curtis Tilt,Wigan Athletic,100 tys. €,GB3,2020
Sam Woods,Plymouth Argyle,75 tys. €,GB3,2020
Nathan Baxter,Accrington Stanley,75 tys. €,GB3,2020
Adam Phillips,Accrington Stanley,75 tys. €,GB3,2020
Dillon Barnes,Burton Albion,50 tys. €,GB3,2020
Callum Slattery,FC Gillingham,50 tys. €,GB3,2020
Akin Famewo,Charlton Athletic,25 tys. €,GB3,2020
George Dobson,AFC Wimbledon,-,GB3,2020
Matt Palmer,Wigan Athletic,-,GB3,2020
Liam Kelly,Oxford United,-,GB3,2020
Ryan Hardie,Plymouth Argyle,-,GB3,2020
Declan Drysdale,FC Gillingham,-,GB3,2020
Morgan Boyes,Fleetwood Town,-,GB3,2020
Timmy Abraham,Plymouth Argyle,-,GB3,2020
Harvey White,FC Portsmouth,-,GB3,2020
Robbie Cundy,FC Gillingham,-,GB3,2020
Regan Slater,Hull City,-,GB3,2020
Ryan Cassidy,Accrington Stanley,-,GB3,2020
Kell Watts,Plymouth Argyle,-,GB3,2020
Tyreece John-Jules,Doncaster Rovers,-,GB3,2020
Lewis Ward,FC Portsmouth,-,GB3,2020
Jordan Lawrence-Gabriel,FC Blackpool,-,GB3,2020
Trae Coyle,FC Gillingham,-,GB3,2020
Cameron Pring,FC Portsmouth,-,GB3,2020
Callum Morton,Lincoln City,-,GB3,2020
Sam Hughes,Burton Albion,-,GB3,2020
Lasse Sörensen,Milton Keynes Dons,-,GB3,2020
Daniel Ballard,FC Blackpool,-,GB3,2020
Tariq Uwakwe,Accrington Stanley,-,GB3,2020
Shilow Tracey,Shrewsbury Town,-,GB3,2020
Joe Grayson,Oxford United,-,GB3,2020
Jamie Soule,Lincoln City,-,GB3,2020
Harry Pickering,Crewe Alexandra,-,GB3,2020
Warren O'Hora,Milton Keynes Dons,-,GB3,2020
Tyreke Johnson,FC Gillingham,-,GB3,2020
Yeboah Amankwah,AFC Rochdale,-,GB3,2020
Matt Smith,Charlton Athletic,-,GB3,2020
Darnell Johnson,Wigan Athletic,-,GB3,2020
Tolaji Bola,AFC Rochdale,-,GB3,2020
Tom Allan,Accrington Stanley,-,GB3,2020
Matt Smith,Swindon Town,-,GB3,2020
Marlon Fossey,Shrewsbury Town,-,GB3,2020
Jayden Mitchell-Lawson,Bristol Rovers,-,GB3,2020
Niall Ennis,Burton Albion,-,GB3,2020
Taylor Richards,Doncaster Rovers,-,GB3,2020
Alex Palmer,Lincoln City,-,GB3,2020
Jon Russell,Accrington Stanley,-,GB3,2020
James Morton,FC Gillingham,-,GB3,2020
Ryan Longman,AFC Wimbledon,-,GB3,2020
Liam Millar,Charlton Athletic,-,GB3,2020
Ryan Edmondson,Northampton Town,-,GB3,2020
Ellis Simms,FC Blackpool,-,GB3,2020
Scott Robertson,FC Gillingham,-,GB3,2020
Brennan Johnson,Lincoln City,-,GB3,2020
Tyler Smith,Swindon Town,-,GB3,2020
Ryan Broom,Burton Albion,-,GB3,2020
Dan Kemp,FC Blackpool,-,GB3,2020
Rayhaan Tulloch,Doncaster Rovers,-,GB3,2020
Haydon Roberts,AFC Rochdale,-,GB3,2020
Mo Sangare,Accrington Stanley,-,GB3,2020
Tyrese Omotoye,Swindon Town,-,GB3,2020
Scott High,Shrewsbury Town,-,GB3,2020
Thomas O'Connor,FC Gillingham,-,GB3,2020
Jonny Smith,Swindon Town,-,GB3,2020
Darnell Johnson,AFC Wimbledon,-,GB3,2020
Luke McCormick,Bristol Rovers,-,GB3,2020
Elliot Embleton,FC Blackpool,-,GB3,2020
Joe Hilton,Fleetwood Town,-,GB3,2020
Mark McGuinness,Ipswich Town,-,GB3,2020
Zechariah Medley,FC Gillingham,-,GB3,2020
Josef Bursik,Doncaster Rovers,-,GB3,2020
Gavin Bazunu,AFC Rochdale,-,GB3,2020
Jack Roles,Burton Albion,-,GB3,2020
Jerome Opoku,Plymouth Argyle,-,GB3,2020
Tyrese Fornah,Plymouth Argyle,-,GB3,2020
Timothy Eyoma,Lincoln City,-,GB3,2020
Jack Vale,AFC Rochdale,-,GB3,2020
Ian Maatsen,Charlton Athletic,-,GB3,2020
Teddy Sharman-Lowe,Burton Albion,-,GB3,2020
Scott Robertson,Doncaster Rovers,-,GB3,2020
Kazaiah Sterling,Southend United,"1,80 mln €",GB4,2020
Di'Shon Bernard,Salford City,"1,00 mln €",GB4,2020
Liam Feeney,Tranmere Rovers,600 tys. €,GB4,2020
Stephen Quinn,Mansfield Town,600 tys. €,GB4,2020
Ali Crawford,Tranmere Rovers,550 tys. €,GB4,2020
Jamie Cumming,FC Stevenage,450 tys. €,GB4,2020
Hiram Boateng,Cambridge United,400 tys. €,GB4,2020
Declan John,Bolton Wanderers,400 tys. €,GB4,2020
David Nugent,Tranmere Rovers,300 tys. €,GB4,2020
Marcel Hilßner,Oldham Athletic,300 tys. €,GB4,2020
David Stockdale,FC Stevenage,300 tys. €,GB4,2020
Nicky Maynard,Newport County,300 tys. €,GB4,2020
Indiana Vassilev,Cheltenham Town,250 tys. €,GB4,2020
Robbie Gotts,Salford City,250 tys. €,GB4,2020
Frank Nouble,Colchester United,250 tys. €,GB4,2020
Derick Osei,FC Walsall,250 tys. €,GB4,2020
Laurie Walker,Oldham Athletic,250 tys. €,GB4,2020
Brad Lyons,FC Morecambe,250 tys. €,GB4,2020
Tom James,Salford City,200 tys. €,GB4,2020
Bobby Thomas,AFC Barrow,200 tys. €,GB4,2020
Jake Hesketh,Crawley Town,200 tys. €,GB4,2020
Jordan Stevens,Bradford City,200 tys. €,GB4,2020
Luke Gambin,Newport County,200 tys. €,GB4,2020
Mace Goodridge,AFC Barrow,200 tys. €,GB4,2020
Nick Freeman,Leyton Orient,200 tys. €,GB4,2020
Ben Coker,FC Stevenage,150 tys. €,GB4,2020
Tristan Abrahams,Leyton Orient,150 tys. €,GB4,2020
Tom Davies,AFC Barrow,150 tys. €,GB4,2020
Jamie Devitt,Newport County,150 tys. €,GB4,2020
Neal Eardley,AFC Barrow,150 tys. €,GB4,2020
George Lapslie,Mansfield Town,150 tys. €,GB4,2020
Jamie Proctor,Newport County,150 tys. €,GB4,2020
Odin Bailey,Forest Green Rovers,150 tys. €,GB4,2020
Teddy Howe,Scunthorpe United,150 tys. €,GB4,2020
Kyle Taylor,Southend United,100 tys. €,GB4,2020
Ian Lawlor,Oldham Athletic,100 tys. €,GB4,2020
Aramide Oteh,FC Stevenage,100 tys. €,GB4,2020
Sam Smith,Cheltenham Town,100 tys. €,GB4,2020
Jordan Green,Southend United,100 tys. €,GB4,2020
Peter Kioso,Bolton Wanderers,100 tys. €,GB4,2020
Oliver Sarkic,Mansfield Town,100 tys. €,GB4,2020
Jökull Andrésson,Exeter City,100 tys. €,GB4,2020
Jökull Andrésson,FC Morecambe,100 tys. €,GB4,2020
Jökull Andrésson,Exeter City,100 tys. €,GB4,2020
Max Melbourne,FC Walsall,100 tys. €,GB4,2020
Tom Sang,Cheltenham Town,100 tys. €,GB4,2020
Sam Smith,Tranmere Rovers,100 tys. €,GB4,2020
Lee O'Connor,Tranmere Rovers,100 tys. €,GB4,2020
Jake Turner,FC Morecambe,100 tys. €,GB4,2020
Aramide Oteh,Colchester United,100 tys. €,GB4,2020
Jake Eastwood,Grimsby Town,100 tys. €,GB4,2020
Adam Phillips,FC Morecambe,75 tys. €,GB4,2020
Josh McPake,Harrogate Town,75 tys. €,GB4,2020
Joshua Kayode,Carlisle United,50 tys. €,GB4,2020
Anthony Hartigan,Newport County,50 tys. €,GB4,2020
Robbie Willmott,Exeter City,50 tys. €,GB4,2020
Connor Malley,Carlisle United,50 tys. €,GB4,2020
Josh Doherty,Colchester United,50 tys. €,GB4,2020
Zack Elbouzedi,Bolton Wanderers,50 tys. €,GB4,2020
Lukas Jensen,Bolton Wanderers,25 tys. €,GB4,2020
Dan Jones,Harrogate Town,-,GB4,2020
Marcus Maddison,Bolton Wanderers,-,GB4,2020
Bobby Grant,Oldham Athletic,-,GB4,2020
Kyle Bennett,Grimsby Town,-,GB4,2020
George Taft,Scunthorpe United,-,GB4,2020
Virgil Gomis,Grimsby Town,-,GB4,2020
Andy Cook,Bradford City,-,GB4,2020
Paul Coutts,Salford City,-,GB4,2020
Callum Wright,Cheltenham Town,-,GB4,2020
Owen Windsor,Grimsby Town,-,GB4,2020
Tyreik Wright,FC Walsall,-,GB4,2020
Jay Matete,Grimsby Town,-,GB4,2020
Bryce Hosannah,Bradford City,-,GB4,2020
Rumarn Burrell,Bradford City,-,GB4,2020
Jake Taylor,Scunthorpe United,-,GB4,2020
Josh Andrews,Harrogate Town,-,GB4,2020
Jahmal Hector-Ingram,FC Stevenage,-,GB4,2020
Jack Young,Tranmere Rovers,-,GB4,2020
Alex Denny,FC Morecambe,-,GB4,2020
Harry Clarke,Oldham Athletic,-,GB4,2020
Josh Griffiths,Cheltenham Town,-,GB4,2020
Tyler Cordner,Scunthorpe United,-,GB4,2020
Brandon Cooper,Newport County,-,GB4,2020
Tunji Akinola,Leyton Orient,-,GB4,2020
Aaron Lewis,Newport County,-,GB4,2020
William Hondermarck,Harrogate Town,-,GB4,2020
Harrison Biggins,AFC Barrow,-,GB4,2020
Mitchell Roberts,Harrogate Town,-,GB4,2020
Ben Garrity,Oldham Athletic,-,GB4,2020
Martell Taylor-Crossdale,Colchester United,-,GB4,2020
Tyler Cordner,Southend United,-,GB4,2020
Alfie McCalmont,Oldham Athletic,-,GB4,2020
Aji Alese,Cambridge United,-,GB4,2020
Will Swan,Port Vale FC,-,GB4,2020
Reeco Hackett,Southend United,-,GB4,2020
Dan Bramall,AFC Barrow,-,GB4,2020
Ethan Walker,Carlisle United,-,GB4,2020
Oladapo Afolayan,Bolton Wanderers,-,GB4,2020
Mitchell Clark,Port Vale FC,-,GB4,2020
Robbie Cundy,Cambridge United,-,GB4,2020
Jack Roles,FC Stevenage,-,GB4,2020
Jayden Reid,AFC Barrow,-,GB4,2020
Scott Twine,Newport County,-,GB4,2020
Rollin Menayese,Grimsby Town,-,GB4,2020
Mustapha Olagunju,Port Vale FC,-,GB4,2020
Calum MacDonald,Tranmere Rovers,-,GB4,2020
Remeao Hutton,FC Stevenage,-,GB4,2020
Owura Edwards,Grimsby Town,-,GB4,2020
Ethan Walker,Carlisle United,-,GB4,2020
Bradley Webb,Newport County,-,GB4,2020
Idris El Mizouni,Grimsby Town,-,GB4,2020
Micah Obiero,Carlisle United,-,GB4,2020
Owen Windsor,Newport County,-,GB4,2020
Kian Harratt,Harrogate Town,-,GB4,2020
Jayden Reid,FC Walsall,-,GB4,2020
Finn Azaz,Cheltenham Town,-,GB4,2020
James Montgomery,Southend United,-,GB4,2020
Jubril Okedina,Cambridge United,-,GB4,2020
Saikou Janneh,Newport County,-,GB4,2020
Ben Jackson,Bolton Wanderers,-,GB4,2020
Jamie Pardington,Mansfield Town,-,GB4,2020
Ryan Cooney,FC Morecambe,-,GB4,2020
Jordan Thomas,Leyton Orient,-,GB4,2020
Jordan Maguire-Drew,Crawley Town,-,GB4,2020
George Nurse,FC Walsall,-,GB4,2020
Danny Preston,Grimsby Town,-,GB4,2020
James Morton,Grimsby Town,-,GB4,2020
Josh Davison,Forest Green Rovers,-,GB4,2020
Nya Kirby,Tranmere Rovers,-,GB4,2020
Billy Crellin,Bolton Wanderers,-,GB4,2020
Joe Adams,Grimsby Town,-,GB4,2020
Austin Samuels,Bradford City,-,GB4,2020
Jake Scrimshaw,FC Walsall,-,GB4,2020
Elliot Bonds,Cheltenham Town,-,GB4,2020
Mathew Stevens,FC Stevenage,-,GB4,2020
Marcus Dewhurst,Carlisle United,-,GB4,2020
Jake Scrimshaw,Newport County,-,GB4,2020
Idris El Mizouni,Cambridge United,-,GB4,2020
Adan George,FC Walsall,-,GB4,2020
Josh March,Harrogate Town,-,GB4,2020
Tom White,Bolton Wanderers,-,GB4,2020
Frank Vincent,FC Walsall,-,GB4,2020
Terry Taylor,Grimsby Town,-,GB4,2020
Arthur Read,FC Stevenage,-,GB4,2020
Shilow Tracey,Cambridge United,-,GB4,2020
Jayden Richardson,Forest Green Rovers,-,GB4,2020
Serhat Tasdemir,Oldham Athletic,-,GB4,2020
Jack Aitchison,FC Stevenage,-,GB4,2020
Frank Vincent,Scunthorpe United,-,GB4,2020
Declan Drysdale,Cambridge United,-,GB4,2020
James Olayinka,Southend United,-,GB4,2020
Isaac Hutchinson,Forest Green Rovers,-,GB4,2020
Tom McGill,Crawley Town,-,GB4,2020
Hélder Costa,Leeds United,"15,00 mln €",GB2,2019
Jean-Kévin Augustin,Leeds United,"14,00 mln €",GB2,2019
Terence Kongolo,FC Fulham,"12,00 mln €",GB2,2019
Bobby De Cordova-Reid,FC Fulham,"10,00 mln €",GB2,2019
Filip Benkovic,Bristol City,"9,00 mln €",GB2,2019
Benik Afobe,Bristol City,"8,00 mln €",GB2,2019
Eddie Nketiah,Leeds United,"8,00 mln €",GB2,2019
Adama Diakhaby,Nottingham Forest,"8,00 mln €",GB2,2019
Harry Arter,FC Fulham,"7,00 mln €",GB2,2019
Callum Robinson,West Bromwich Albion,"7,00 mln €",GB2,2019
Jack Clarke,Queens Park Rangers,"6,00 mln €",GB2,2019
Jordan Hugill,Queens Park Rangers,"6,00 mln €",GB2,2019
Jacob Murphy,Sheffield Wednesday,"6,00 mln €",GB2,2019
Jack Clarke,Leeds United,"6,00 mln €",GB2,2019
Filip Krovinovic,West Bromwich Albion,"5,00 mln €",GB2,2019
Illan Meslier,Leeds United,"5,00 mln €",GB2,2019
Grady Diangana,West Bromwich Albion,"5,00 mln €",GB2,2019
Markus Henriksen,Bristol City,"5,00 mln €",GB2,2019
Jonas Lössl,Huddersfield Town,"5,00 mln €",GB2,2019
Izzy Brown,Luton Town,"5,00 mln €",GB2,2019
Ryan Woods,FC Millwall,"5,00 mln €",GB2,2019
James Chester,Stoke City,"4,50 mln €",GB2,2019
Pelé,FC Reading,"4,50 mln €",GB2,2019
Harold Moukoudi,FC Middlesbrough,"4,00 mln €",GB2,2019
Nahki Wells,Queens Park Rangers,"4,00 mln €",GB2,2019
Rhian Brewster,Swansea City,"4,00 mln €",GB2,2019
Albert Adomah,Cardiff City,"3,50 mln €",GB2,2019
Tosin Adarabioyo,Blackburn Rovers,"3,50 mln €",GB2,2019
Patrick Roberts,FC Middlesbrough,"3,50 mln €",GB2,2019
Scott Hogan,Birmingham City,"3,00 mln €",GB2,2019
Greg Cunningham,Blackburn Rovers,"3,00 mln €",GB2,2019
Scott Hogan,Stoke City,"3,00 mln €",GB2,2019
Rafa Mir,Nottingham Forest,"3,00 mln €",GB2,2019
Trevoh Chalobah,Huddersfield Town,"3,00 mln €",GB2,2019
Matt Miazga,FC Reading,"3,00 mln €",GB2,2019
Kieran Dowell,Derby County,"3,00 mln €",GB2,2019
Emile Smith Rowe,Huddersfield Town,"3,00 mln €",GB2,2019
Kieran Dowell,Wigan Athletic,"3,00 mln €",GB2,2019
Aiden McGeady,Charlton Athletic,"2,50 mln €",GB2,2019
Cameron Carter-Vickers,Luton Town,"2,50 mln €",GB2,2019
Connor Wickham,Sheffield Wednesday,"2,50 mln €",GB2,2019
Andy King,Huddersfield Town,"2,50 mln €",GB2,2019
Alessio Da Cruz,Sheffield Wednesday,"2,40 mln €",GB2,2019
Conor Gallagher,Swansea City,"2,00 mln €",GB2,2019
Jan Mlakar,Wigan Athletic,"2,00 mln €",GB2,2019
Andre Green,Charlton Athletic,"2,00 mln €",GB2,2019
Jake Clarke-Salter,Birmingham City,"2,00 mln €",GB2,2019
Andre Green,Preston North End,"2,00 mln €",GB2,2019
Pedro Pereira,Bristol City,"2,00 mln €",GB2,2019
Jamie Paterson,Derby County,"2,00 mln €",GB2,2019
Alfa Semedo,Nottingham Forest,"2,00 mln €",GB2,2019
Josh Windass,Sheffield Wednesday,"2,00 mln €",GB2,2019
Arijanet Muric,Nottingham Forest,"2,00 mln €",GB2,2019
Jan Mlakar,Queens Park Rangers,"2,00 mln €",GB2,2019
David Bates,Sheffield Wednesday,"2,00 mln €",GB2,2019
Harrison Reed,FC Fulham,"2,00 mln €",GB2,2019
Marc Guéhi,Swansea City,"1,50 mln €",GB2,2019
Lucas Boyé,FC Reading,"1,50 mln €",GB2,2019
Cameron Carter-Vickers,Stoke City,"1,50 mln €",GB2,2019
Chris Willock,West Bromwich Albion,"1,50 mln €",GB2,2019
Ben Wilmot,Swansea City,"1,50 mln €",GB2,2019
Mason Bennett,FC Millwall,"1,50 mln €",GB2,2019
Leon Balogun,Wigan Athletic,"1,50 mln €",GB2,2019
Matt Smith,Queens Park Rangers,"1,50 mln €",GB2,2019
Matt Smith,Charlton Athletic,"1,50 mln €",GB2,2019
Sam Field,Charlton Athletic,"1,50 mln €",GB2,2019
Beram Kayal,Charlton Athletic,"1,50 mln €",GB2,2019
Chris Willock,Huddersfield Town,"1,50 mln €",GB2,2019
John Bostock,Nottingham Forest,"1,00 mln €",GB2,2019
Jefferson Montero,Birmingham City,"1,00 mln €",GB2,2019
James Bree,Luton Town,"1,00 mln €",GB2,2019
Matthew Pennington,Hull City,"1,00 mln €",GB2,2019
Christian Walton,Blackburn Rovers,"1,00 mln €",GB2,2019
Charlie Mulgrew,Wigan Athletic,"1,00 mln €",GB2,2019
Josh Cullen,Charlton Athletic,"1,00 mln €",GB2,2019
Brad Smith,Cardiff City,"1,00 mln €",GB2,2019
Rushian Hepburn-Murphy,Derby County,"1,00 mln €",GB2,2019
Jonathan Leko,Charlton Athletic,"1,00 mln €",GB2,2019
Mallik Wilks,Hull City,900 tys. €,GB2,2019
Ovie Ejaria,FC Reading,900 tys. €,GB2,2019
Ravel Morrison,FC Middlesbrough,750 tys. €,GB2,2019
Aldo Kalulu,Swansea City,750 tys. €,GB2,2019
David Davis,Charlton Athletic,750 tys. €,GB2,2019
Bartosz Bialkowski,FC Millwall,750 tys. €,GB2,2019
Marcus Maddison,Hull City,750 tys. €,GB2,2019
Ayub Masika,FC Reading,650 tys. €,GB2,2019
João Virgínia,FC Reading,500 tys. €,GB2,2019
Ben Hamer,Derby County,500 tys. €,GB2,2019
Mark Duffy,Stoke City,500 tys. €,GB2,2019
Bright Enobakhare,Wigan Athletic,500 tys. €,GB2,2019
Freddie Woodman,Swansea City,500 tys. €,GB2,2019
Eunan O'Kane,Luton Town,500 tys. €,GB2,2019
Kamil Grabara,Huddersfield Town,400 tys. €,GB2,2019
Kilian Ludewig,FC Barnsley,300 tys. €,GB2,2019
Herbie Kane,Hull City,250 tys. €,GB2,2019
Matt Clarke,Derby County,200 tys. €,GB2,2019
Luke Steele,FC Millwall,150 tys. €,GB2,2019
Luke Amos,Queens Park Rangers,100 tys. €,GB2,2019
Alexandru Dobre,Wigan Athletic,100 tys. €,GB2,2019
Moha Ramos,Birmingham City,50 tys. €,GB2,2019
Ben White,Leeds United,-,GB2,2019
Dion Sanderson,Cardiff City,-,GB2,2019
Conor Gallagher,Charlton Athletic,-,GB2,2019
Sam Surridge,Swansea City,-,GB2,2019
Luke Bolton,Luton Town,-,GB2,2019
Josh Bowler,Hull City,-,GB2,2019
Dujon Sterling,Wigan Athletic,-,GB2,2019
Jayson Molumby,FC Millwall,-,GB2,2019
Ben Woodburn,Oxford United,"5,00 mln €",GB3,2019
Kazaiah Sterling,Doncaster Rovers,"2,00 mln €",GB3,2019
Callum Connolly,Lincoln City,"2,00 mln €",GB3,2019
Callum Connolly,Fleetwood Town,"2,00 mln €",GB3,2019
Rocky Bushiri,FC Blackpool,"1,20 mln €",GB3,2019
Liam Bridcutt,Lincoln City,"1,00 mln €",GB3,2019
Cameron Borthwick-Jackson,Tranmere Rovers,"1,00 mln €",GB3,2019
Taylor Moore,FC Blackpool,"1,00 mln €",GB3,2019
George Thorne,Oxford United,"1,00 mln €",GB3,2019
Jamie Murphy,Burton Albion,"1,00 mln €",GB3,2019
Liam Bridcutt,Bolton Wanderers,"1,00 mln €",GB3,2019
Barrie McKay,Fleetwood Town,"1,00 mln €",GB3,2019
Ross McCrorie,FC Portsmouth,"1,00 mln €",GB3,2019
James Husband,FC Blackpool,"1,00 mln €",GB3,2019
Rushian Hepburn-Murphy,Tranmere Rovers,"1,00 mln €",GB3,2019
Marc McNulty,AFC Sunderland,"1,00 mln €",GB3,2019
Bailey Wright,AFC Sunderland,"1,00 mln €",GB3,2019
Laurens De Bock,AFC Sunderland,"1,00 mln €",GB3,2019
Declan John,AFC Sunderland,800 tys. €,GB3,2019
Liam Walsh,Coventry City,800 tys. €,GB3,2019
Luke Garbutt,Ipswich Town,750 tys. €,GB3,2019
Marcus Browne,Oxford United,750 tys. €,GB3,2019
Max O'Leary,Shrewsbury Town,750 tys. €,GB3,2019
