name,loaning_club,player_value_in_moment_of_transfer,league,year,market_value_in_eur
George Hirst,FC Portsmouth,800 tys. €,GB3,2021,800000.0
George Hirst,Rotherham United,450 tys. €,GB2,2020,800000.0
Cédric Kipré,Cardiff City,800 tys. €,GB2,2022,1500000.0
Ethan Horvath,Luton Town,800 tys. €,GB2,2022,1000000.0
Leo Fuhr Hjelde,Rotherham United,800 tys. €,GB2,2022,800000.0
Omar Rekik,Wigan Athletic,800 tys. €,GB2,2022,800000.0
Charlie Goode,FC Blackpool,800 tys. €,GB2,2022,800000.0
Charlie Goode,Sheffield United,"1,00 mln €",GB2,2021,800000.0
Charlie Goode,Northampton Town,100 tys. €,GB4,2018,800000.0
Ellis Simms,AFC Sunderland,600 tys. €,GB2,2022,1200000.0
Ellis Simms,FC Blackpool,-,GB3,2020,1200000.0
Luke Mbete,Huddersfield Town,600 tys. €,GB2,2022,2000000.0
Luke Mbete,Bolton Wanderers,"2,00 mln €",GB3,2022,2000000.0
Dion Sanderson,Birmingham City,600 tys. €,GB2,2022,3000000.0
Dion Sanderson,Queens Park Rangers,300 tys. €,GB2,2021,3000000.0
Dion Sanderson,Birmingham City,150 tys. €,GB2,2021,3000000.0
Dion Sanderson,AFC Sunderland,150 tys. €,GB3,2020,3000000.0
Dion Sanderson,Cardiff City,-,GB2,2019,3000000.0
Nathan Broadhead,Wigan Athletic,500 tys. €,GB2,2022,500000.0
Nathan Broadhead,AFC Sunderland,500 tys. €,GB3,2021,500000.0
Nathan Broadhead,Burton Albion,-,GB3,2019,500000.0
Joseph Hungbo,Huddersfield Town,450 tys. €,GB2,2022,450000.0
Taylor Richards,Queens Park Rangers,400 tys. €,GB2,2022,400000.0
Taylor Richards,Birmingham City,400 tys. €,GB2,2021,400000.0
Taylor Richards,Doncaster Rovers,-,GB3,2020,400000.0
Harvey Vale,Hull City,400 tys. €,GB2,2022,2000000.0
Fin Stevens,Swansea City,400 tys. €,GB2,2022,400000.0
Matthew Lowton,Huddersfield Town,400 tys. €,GB2,2022,400000.0
Harry Clarke,Stoke City,350 tys. €,GB2,2022,600000.0
Harry Clarke,Oldham Athletic,-,GB4,2020,600000.0
Matthew Sorinola,Swansea City,350 tys. €,GB2,2022,800000.0
Kaine Kesler-Hayden,Huddersfield Town,300 tys. €,GB2,2022,1500000.0
