,name,loaning_club,player_value_in_moment_of_transfer,league,year,market_value_in_eur
771,Janoi Donacien,Fleetwood Town,400000,GB3,2020,300000.0
772,Janoi Donacien,Ipswich Town,250000,GB2,2018,300000.0
773,Janoi Donacien,Accrington Stanley,750000,GB3,2018,300000.0
774,Matthew Millar,Shrewsbury Town,400000,GB3,2020,400000.0
776,Sean Clare,Burton Albion,350000,GB3,2020,400000.0
777,Antony Evans,Crewe Alexandra,350000,GB3,2020,400000.0
778,Antony Evans,FC Blackpool,-,GB3,2018,400000.0
779,Olly Lee,FC Gillingham,350000,GB3,2020,350000.0
780,Olly Lee,FC Gillingham,450000,GB3,2019,350000.0
781,Nathan Wood,Crewe Alexandra,300000,GB3,2020,1200000.0
782,Dejan Iliev,Shrewsbury Town,300000,GB3,2020,325000.0
783,Scott Wootton,Wigan Athletic,300000,GB3,2020,300000.0
784,Kyle Vassell,Fleetwood Town,300000,GB3,2020,350000.0
785,Marcus McGuane,Oxford United,300000,GB3,2020,300000.0
786,Luka Racic,Northampton Town,300000,GB3,2020,250000.0
787,Mickel Miller,Northampton Town,300000,GB3,2020,300000.0
788,Louis Thompson,Milton Keynes Dons,250000,GB3,2020,200000.0
789,Louis Thompson,Shrewsbury Town,250000,GB3,2019,200000.0
790,Louis Thompson,Milton Keynes Dons,250000,GB3,2019,200000.0
792,Indiana Vassilev,Burton Albion,250000,GB3,2020,800000.0
793,Indiana Vassilev,Cheltenham Town,250000,GB4,2020,800000.0
795,Robbie Gotts,Lincoln City,250000,GB3,2020,250000.0
796,Robbie Gotts,Salford City,250000,GB4,2020,250000.0
797,George Johnston,Wigan Athletic,250000,GB3,2020,600000.0
798,Charlie Mulgrew,Fleetwood Town,250000,GB3,2020,300000.0
799,Charlie Mulgrew,Wigan Athletic,1000000,GB2,2019,300000.0
800,Jordan Stevens,Swindon Town,200000,GB3,2020,200000.0
801,Jordan Stevens,Bradford City,200000,GB4,2020,200000.0
802,Tom James,Wigan Athletic,200000,GB3,2020,200000.0
803,Tom James,Salford City,200000,GB4,2020,200000.0
804,Carlton Morris,Milton Keynes Dons,150000,GB3,2020,2800000.0
805,Carlton Morris,Rotherham United,150000,GB3,2019,2800000.0
806,Carlton Morris,Milton Keynes Dons,150000,GB3,2019,2800000.0
807,Sam Walker,AFC Wimbledon,150000,GB3,2020,250000.0
808,Sam Walker,FC Blackpool,150000,GB3,2020,250000.0
810,Dillon Barnes,Burton Albion,50000,GB3,2020,150000.0
811,Callum Slattery,FC Gillingham,50000,GB3,2020,450000.0
812,George Dobson,AFC Wimbledon,-,GB3,2020,400000.0
813,Liam Kelly,Oxford United,-,GB3,2020,250000.0
814,Liam Kelly,Oxford United,-,GB3,2020,475000.0
815,Liam Kelly,Oxford United,-,GB3,2020,700000.0
816,Liam Kelly,Oxford United,600000,GB3,2019,250000.0
817,Liam Kelly,Oxford United,600000,GB3,2019,475000.0
818,Liam Kelly,Oxford United,600000,GB3,2019,700000.0
819,Ryan Hardie,Plymouth Argyle,-,GB3,2020,600000.0
820,Ryan Hardie,Plymouth Argyle,-,GB4,2019,600000.0
823,Morgan Boyes,Fleetwood Town,-,GB3,2020,150000.0
824,Regan Slater,Hull City,-,GB3,2020,900000.0
825,Regan Slater,Scunthorpe United,-,GB4,2019,900000.0
826,Regan Slater,Carlisle United,-,GB4,2018,900000.0
827,Lasse Sörensen,Milton Keynes Dons,-,GB3,2020,450000.0
828,Warren O'Hora,Milton Keynes Dons,-,GB3,2020,600000.0
830,Darnell Johnson,Wigan Athletic,-,GB3,2020,150000.0
831,Darnell Johnson,AFC Wimbledon,-,GB3,2020,150000.0
833,Niall Ennis,Burton Albion,-,GB3,2020,350000.0
834,Niall Ennis,Doncaster Rovers,-,GB3,2019,350000.0
835,Liam Millar,Charlton Athletic,-,GB3,2020,2300000.0
836,Brennan Johnson,Lincoln City,-,GB3,2020,20000000.0
837,Elliot Embleton,FC Blackpool,-,GB3,2020,1200000.0
838,Elliot Embleton,Grimsby Town,-,GB4,2018,1200000.0
839,Joe Hilton,Fleetwood Town,-,GB3,2020,150000.0
840,Zechariah Medley,FC Gillingham,-,GB3,2020,500000.0
841,Jerome Opoku,Plymouth Argyle,-,GB3,2020,700000.0
842,Jerome Opoku,Accrington Stanley,-,GB3,2019,700000.0
843,Timothy Eyoma,Lincoln City,-,GB3,2020,500000.0
844,Timothy Eyoma,Lincoln City,-,GB3,2019,500000.0
846,Kazaiah Sterling,Southend United,1000000,GB4,2020,300000.0
847,Kazaiah Sterling,Doncaster Rovers,2000000,GB3,2019,300000.0
848,Kazaiah Sterling,Leyton Orient,2000000,GB4,2019,300000.0
849,Kazaiah Sterling,AFC Sunderland,-,GB3,2018,300000.0
850,Stephen Quinn,Mansfield Town,600000,GB4,2020,600000.0
851,Ali Crawford,Tranmere Rovers,550000,GB4,2020,375000.0
852,Hiram Boateng,Cambridge United,400000,GB4,2020,400000.0
853,Declan John,Bolton Wanderers,400000,GB4,2020,450000.0
854,Declan John,AFC Sunderland,800000,GB3,2019,450000.0
856,Marcel Hilßner,Oldham Athletic,300000,GB4,2020,200000.0
857,David Stockdale,FC Stevenage,300000,GB4,2020,150000.0
858,David Stockdale,Wycombe Wanderers,500000,GB3,2019,150000.0
859,David Stockdale,Southend United,2000000,GB3,2018,150000.0
860,David Stockdale,Wycombe Wanderers,1000000,GB3,2018,150000.0
861,David Stockdale,Coventry City,1000000,GB3,2018,150000.0
863,Derick Osei,FC Walsall,250000,GB4,2020,250000.0
864,Brad Lyons,FC Morecambe,250000,GB4,2020,200000.0
865,Brad Lyons,Blackburn Rovers,-,GB2,2018,200000.0
871,Tom Davies,AFC Barrow,150000,GB4,2020,12000000.0
872,Odin Bailey,Forest Green Rovers,150000,GB4,2020,250000.0
873,Odin Bailey,Forest Green Rovers,150000,GB4,2019,250000.0
874,Kyle Taylor,Southend United,100000,GB4,2020,200000.0
875,Kyle Taylor,Forest Green Rovers,-,GB4,2019,200000.0
876,Ian Lawlor,Oldham Athletic,100000,GB4,2020,100000.0
877,Ian Lawlor,Scunthorpe United,100000,GB4,2019,100000.0
878,Jordan Green,Southend United,100000,GB4,2020,100000.0
879,Jordan Green,Newport County,100000,GB4,2019,100000.0
880,Tom Sang,Cheltenham Town,100000,GB4,2020,300000.0
883,Jake Taylor,Scunthorpe United,-,GB4,2020,200000.0
884,Jake Taylor,Port Vale FC,-,GB4,2019,200000.0
886,Alex Denny,FC Morecambe,-,GB4,2020,50000.0
887,Aji Alese,Cambridge United,-,GB4,2020,1000000.0
888,Aji Alese,Accrington Stanley,-,GB3,2019,1000000.0
889,Oladapo Afolayan,Bolton Wanderers,-,GB4,2020,600000.0
890,Oladapo Afolayan,Mansfield Town,-,GB4,2019,600000.0
891,Oladapo Afolayan,Oldham Athletic,-,GB4,2018,600000.0
893,Nya Kirby,Tranmere Rovers,-,GB4,2020,300000.0
894,Nya Kirby,FC Blackpool,-,GB3,2018,300000.0
895,Austin Samuels,Bradford City,-,GB4,2020,175000.0
896,Terry Taylor,Grimsby Town,-,GB4,2020,250000.0
897,Jayden Richardson,Forest Green Rovers,-,GB4,2020,400000.0
898,Jayden Richardson,Exeter City,-,GB4,2019,400000.0
901,Tom McGill,Crawley Town,-,GB4,2020,200000.0
902,Tom McGill,Crawley Town,-,GB4,2019,200000.0
903,Hélder Costa,Leeds United,15000000,GB2,2019,3500000.0
904,Jean-Kévin Augustin,Leeds United,14000000,GB2,2019,1500000.0
905,Terence Kongolo,FC Fulham,12000000,GB2,2019,900000.0
906,Bobby De Cordova-Reid,FC Fulham,10000000,GB2,2019,7000000.0
907,Eddie Nketiah,Leeds United,8000000,GB2,2019,18000000.0
908,Adama Diakhaby,Nottingham Forest,8000000,GB2,2019,800000.0
909,Callum Robinson,West Bromwich Albion,7000000,GB2,2019,5000000.0
910,Jacob Murphy,Sheffield Wednesday,6000000,GB2,2019,10000000.0
911,Illan Meslier,Leeds United,5000000,GB2,2019,22000000.0
912,Grady Diangana,West Bromwich Albion,5000000,GB2,2019,6000000.0
913,Markus Henriksen,Bristol City,5000000,GB2,2019,1000000.0
914,Jonas Lössl,Huddersfield Town,5000000,GB2,2019,600000.0
915,James Chester,Stoke City,4000000,GB2,2019,500000.0
916,Pelé,FC Reading,4000000,GB2,2019,800000.0
917,Pelé,FC Reading,4000000,GB2,2019,1000000.0
918,Pelé,Nottingham Forest,6000000,GB2,2018,800000.0
919,Pelé,Nottingham Forest,6000000,GB2,2018,1000000.0
920,Harold Moukoudi,FC Middlesbrough,4000000,GB2,2019,4000000.0
921,Nahki Wells,Queens Park Rangers,4000000,GB2,2019,1200000.0
922,Nahki Wells,Queens Park Rangers,4000000,GB2,2018,1200000.0
923,Rhian Brewster,Swansea City,4000000,GB2,2019,5000000.0
924,Albert Adomah,Cardiff City,3000000,GB2,2019,250000.0
925,Tosin Adarabioyo,Blackburn Rovers,3000000,GB2,2019,18000000.0
926,Tosin Adarabioyo,West Bromwich Albion,1000000,GB2,2018,18000000.0
927,Greg Cunningham,Blackburn Rovers,3000000,GB2,2019,350000.0
928,Rafa Mir,Nottingham Forest,3000000,GB2,2019,12000000.0
929,Trevoh Chalobah,Huddersfield Town,3000000,GB2,2019,22000000.0
930,Trevoh Chalobah,Ipswich Town,-,GB2,2018,22000000.0
931,Matt Miazga,FC Reading,3000000,GB2,2019,2000000.0
932,Matt Miazga,FC Reading,3000000,GB2,2018,2000000.0
933,Kieran Dowell,Derby County,3000000,GB2,2019,2200000.0
934,Kieran Dowell,Wigan Athletic,3000000,GB2,2019,2200000.0
935,Kieran Dowell,Sheffield United,3000000,GB2,2018,2200000.0
936,Emile Smith Rowe,Huddersfield Town,3000000,GB2,2019,38000000.0
937,Aiden McGeady,Charlton Athletic,2000000,GB2,2019,300000.0
938,Connor Wickham,Sheffield Wednesday,2000000,GB2,2019,800000.0
939,Andy King,Huddersfield Town,2000000,GB2,2019,300000.0
940,Andy King,Derby County,3000000,GB2,2018,300000.0
941,Alessio Da Cruz,Sheffield Wednesday,2000000,GB2,2019,1500000.0
942,Conor Gallagher,Swansea City,2000000,GB2,2019,32000000.0
943,Conor Gallagher,Charlton Athletic,-,GB2,2019,32000000.0
944,Jan Mlakar,Wigan Athletic,2000000,GB2,2019,2300000.0
945,Jan Mlakar,Queens Park Rangers,2000000,GB2,2019,2300000.0
946,Andre Green,Charlton Athletic,2000000,GB2,2019,750000.0
947,Andre Green,Preston North End,2000000,GB2,2019,750000.0
948,Andre Green,FC Portsmouth,1000000,GB3,2018,750000.0
950,Pedro Pereira,Bristol City,2000000,GB2,2019,2000000.0
951,Josh Windass,Sheffield Wednesday,2000000,GB2,2019,600000.0
952,Arijanet Muric,Nottingham Forest,2000000,GB2,2019,4000000.0
953,David Bates,Sheffield Wednesday,2000000,GB2,2019,650000.0
954,Harrison Reed,FC Fulham,2000000,GB2,2019,15000000.0
955,Harrison Reed,Blackburn Rovers,1000000,GB2,2018,15000000.0
956,Lucas Boyé,FC Reading,1000000,GB2,2019,8000000.0
957,Chris Willock,West Bromwich Albion,1000000,GB2,2019,6000000.0
958,Chris Willock,Huddersfield Town,1000000,GB2,2019,6000000.0
959,Ben Wilmot,Swansea City,1000000,GB2,2019,6000000.0
960,Leon Balogun,Wigan Athletic,1000000,GB2,2019,400000.0
961,Beram Kayal,Charlton Athletic,1000000,GB2,2019,300000.0
962,John Bostock,Nottingham Forest,1000000,GB2,2019,400000.0
963,Jefferson Montero,Birmingham City,1000000,GB2,2019,250000.0
964,Jefferson Montero,West Bromwich Albion,1000000,GB2,2018,250000.0
965,James Bree,Luton Town,1000000,GB2,2019,3000000.0
966,James Bree,Ipswich Town,1000000,GB2,2018,3000000.0
967,Josh Cullen,Charlton Athletic,1000000,GB2,2019,7000000.0
968,Josh Cullen,Charlton Athletic,1000000,GB3,2018,7000000.0
970,Brad Smith,Cardiff City,1000000,GB2,2019,1000000.0
971,Rushian Hepburn-Murphy,Derby County,1000000,GB2,2019,200000.0
972,Rushian Hepburn-Murphy,Tranmere Rovers,1000000,GB3,2019,200000.0
973,Rushian Hepburn-Murphy,Cambridge United,1000000,GB4,2018,200000.0
974,Ovie Ejaria,FC Reading,900000,GB2,2019,3000000.0
975,Ovie Ejaria,FC Reading,900000,GB2,2018,3000000.0
976,Ravel Morrison,FC Middlesbrough,750000,GB2,2019,500000.0
977,Aldo Kalulu,Swansea City,750000,GB2,2019,1500000.0
978,Ayub Masika,FC Reading,650000,GB2,2019,400000.0
979,João Virgínia,FC Reading,500000,GB2,2019,1000000.0
980,Ben Hamer,Derby County,500000,GB2,2019,250000.0
982,Bright Enobakhare,Wigan Athletic,500000,GB2,2019,200000.0
983,Bright Enobakhare,Coventry City,500000,GB3,2018,200000.0
986,Kamil Grabara,Huddersfield Town,400000,GB2,2019,5000000.0
987,Kilian Ludewig,FC Barnsley,300000,GB2,2019,500000.0
989,Luke Amos,Queens Park Rangers,100000,GB2,2019,500000.0
990,Alexandru Dobre,Wigan Athletic,100000,GB2,2019,1200000.0
991,Alexandru Dobre,Yeovil Town,100000,GB4,2018,1200000.0
992,Moha Ramos,Birmingham City,50000,GB2,2019,25000.0
993,Ben White,Leeds United,-,GB2,2019,45000000.0
994,Ben White,Peterborough United,-,GB3,2018,45000000.0
995,Sam Surridge,Swansea City,-,GB2,2019,3500000.0
996,Sam Surridge,Oldham Athletic,-,GB4,2018,3500000.0
997,Luke Bolton,Luton Town,-,GB2,2019,2000000.0
998,Luke Bolton,Wycombe Wanderers,-,GB3,2018,2000000.0
999,Rocky Bushiri,FC Blackpool,1000000,GB3,2019,400000.0
1000,Liam Bridcutt,Lincoln City,1000000,GB3,2019,250000.0
1001,Liam Bridcutt,Bolton Wanderers,1000000,GB3,2019,250000.0
